category,subcategory,label,prompt,
Person,Eyebrow,V字眉,v-shaped eyebrows,
Person,Eyebrow,一字眉,straight eyebrows,
Person,Eyebrow,柳叶眉,arched eyebrows,
Person,Eyebrow,剑眉,sword-shaped eyebrows,
Person,Eyebrow,八字眉,worried eyebrows,
Person,Eyebrow,断眉,broken eyebrows,
Person,Eyebrow,稀疏的眉毛,sparse eyebrows,
Person,Eyebrow,杂乱的眉毛,bushy eyebrows,
Person,Eyebrow,连接的眉毛,connected eyebrows,
Person,Eyebrow,上挑的眉毛,raised eyebrows,
Person,Eyebrow,下垂的眉毛,drooping eyebrows,
Person,Eyebrow,新月眉,crescent eyebrows,
Person,Eyebrow,飞扬的眉毛,winged eyebrows,
Person,Eyes,蓝色眼睛,blue eyes,
Person,Eyes,红色眼睛,red eyes,
Person,Eyes,棕色眼睛,brown eyes,
Person,Eyes,绿色眼睛,green eyes,
Person,Eyes,紫色眼睛,purple eyes,
Person,Eyes,黄色眼睛,yellow eyes,
Person,Eyes,粉色眼睛,pink eyes,
Person,Eyes,黑色眼睛,black eyes,
Person,Eyes,水蓝色眼睛,aqua eyes,
Person,Eyes,橙色眼睛,orange eyes,
Person,Eyes,灰色眼睛,grey eyes,
Person,Eyes,多彩眼睛,multicolored eyes,
Person,Eyes,白色眼睛,white eyes,
Person,Eyes,渐变眼睛,gradient eyes,
Person,Eyes,闭上眼睛,closed eyes,
Person,Eyes,半闭眼,half-closed eyes,
Person,Eyes,睁着眼睛哭,crying with eyes open,
Person,Eyes,眯起眼睛,narrowed eyes,
Person,Eyes,隐藏眼睛,hidden eyes,
Person,Eyes,心形眼睛,heart-shaped eyes,
Person,Eyes,纽扣眼睛,button eyes,
Person,Eyes,头足类眼睛,cephalopod eyes,
Person,Eyes,透过头发看见眼睛,eyes visible through hair,
Person,Eyes,发光的眼睛,glowing eyes,
Person,Eyes,空洞的眼睛,empty eyes,
Person,Eyes,翻白眼,rolling eyes,
Person,Eyes,斗鸡眼,cross eyed,
Person,Eyes,空白的眼睛,blank eyes,
Person,Eyes,没有眼睛,no eyes,
Person,Eyes,闪闪发光的眼睛,sparkling eyes,
Person,Eyes,额外的眼睛,extra eyes,
Person,Eyes,疯狂的眼睛,crazy eyes,
Person,Eyes,实心圆眼,solid circle eyes,
Person,Eyes,实心椭圆形眼睛,solid oval eyes,
Person,Eyes,不均匀的眼睛,uneven eyes,
Person,Eyes,眼里流血,blood from eyes,
Person,Eyes,眼影,eyeshadow,
Person,Eyes,红色眼影,red eyeshadow,
Person,Eyes,蓝色眼影,blue eyeshadow,
Person,Eyes,紫色眼影,purple eyeshadow,
Person,Eyes,粉色眼影,pink eyeshadow,
Person,Eyes,绿色眼影,green eyeshadow,
Person,Eyes,眼袋,bags under eyes,
Person,Eyes,眼圈,ringed eyes,
Person,Eyes,蒙住眼睛,covered eyes,
Person,Eyes,遮住眼睛,covering eyes,
Person,Eyes,挡着眼睛,shading eyes,
Person,Eyes,魔鬼眼,devil eyes,
Person,Eyes,猫眼,slit pupils,
Person,Eyes,充血的眼睛,bloodshot eyes,
Person,Eyes,眼尾上扬,tsurime,
Person,Eyes,眼尾下垂,tareme,
Person,Eyes,瞳孔收缩,constricted pupils,
Person,Eyes,魔瞳,devil pupils,
Person,Eyes,蛇瞳,snake pupils,
Person,Eyes,瞳孔闪烁,pupils sparkling,
Person,Eyes,花状瞳孔,flower-shaped pupils,
Person,Eyes,心形瞳孔,heart-shaped pupils,
Person,Eyes,异色瞳,heterochromia,
Person,Eyes,美瞳,color contact lenses,
Person,Eyes,长睫毛,longeyelashes,
Person,Eyes,彩色睫毛,colored eyelashes,
Person,Eyes,眼下痣,mole under eye,
Person,Eyes,明亮的眼睛,light_eyes,
Person,Eyes,发光的眼睛,glowing_eye,
Person,Eyes,闪亮的眼睛,shiny_eyes,
Person,Eyes,星星眼,sparkling_eyes,
Person,Eyes,渐变眼睛,gradient_eyes,
Person,Eyes,动画眼,anime_style_eyes,
Person,Eyes,水汪汪,water_eyes,
Person,Eyes,美丽的眼睛,beautiful_detailed_eyes,
Person,Eyes,Q版实心椭圆眼睛,solid_oval_eyes_,
Person,Eyes,Q版实心圆瞳孔,solid_circle_pupils,
Person,Eyes,Q版腮红贴纸,blush_stickers,
Person,Eyes,心形眼,heart_in_eye,
Person,Eyes,邪恶的眼睛,evil_eyes,
Person,Eyes,疯狂的眼睛,crazy_eyes,
Person,Eyes,失去高光的眼睛,empty_eyes,
Person,Eyes,蒙住的眼睛,covered_eyes,
Person,Eyes,空洞的眼睛,hollow_eyes,
Person,Eyes,多彩多姿的眼睛,multicolored_eyes,
Person,Eyes,眼圈,ringed_eyes,
Person,Eyes,三白症(瞳孔偏移),sanpaku,
Person,Eyes,错配巩膜,mismatched_sclera,
Person,Eyes,眼睛反射,eye_relfection,
Person,Eyes,机械眼,mechanical_eye,
Person,Eyes,头足类眼睛,cephalopod_eyes,
Person,Eyes,钟眼,clock_eyes,
Person,Eyes,复眼,compound_eyes,
Person,Eyes,鱼眼,fisheye,
Person,Eyes,恶魔之眼,devil_eyes,
Person,Eyes,布满血丝的眼睛,bloodshot_eyes,
Person,Eyes,血从眼里流出,blood_from_eyes,
Person,Eyes,青色眼睛,aqua_eyes,
Person,Eyes,坚定的眼睛,solid_eyes,
Person,Eyes,闪光动画眼,sparkling_anime_eyes,
Person,Eyes,蓝眼睛,blue_eyes,
Person,Eyes,棕色的眼睛,brown_eyes,
Person,Eyes,闭上的眼睛,closed_eyes,
Person,Eyes,睁着眼落泪,crying_with_eyes_open,
Person,Eyes,多只眼睛,extra_eyes,
Person,Eyes,眼神交流,eye_contact,
Person,Eyes,荷鲁斯之眼,eye_of_horus,
Person,Eyes,眼球,eyeball,
Person,Eyes,眼线,eyeliner,
Person,Eyes,眼睛,eyes,
Person,Eyes,眼中闪现强烈的情感,glint,
Person,Eyes,发光的双眼,glowing_eyes,
Person,Eyes,半闭的眼睛(单眼),half-closed_eye,
Person,Eyes,半闭的双眼,half-closed_eyes,
Person,Eyes,水平瞳孔,horizontal_pupils,
Person,Eyes,轻蔑的眼神,jitome,
Person,Eyes,浅棕色眼睛,light_brown_eyes,
Person,Eyes,没画出眼睛,no_eyes,
Person,Eyes,独眼,one-eyed,
Person,Eyes,反光的眼睛,reflective_eyes,
Person,Eyes,银色的眼睛,silver_eyes,
Person,Eyes,漩涡眼,spiral_eyes,
Person,Eyes,第三只眼,third_eye,
Person,Eyes,大小眼,uneven_eyes,
Person,Eyes,焰目,flaming_eye,
Person,Eyes,闭眼,eyes_closed,
Person,Eyes,半闭双眼,half_closed_eyes,
Person,Eyes,眯起眼睛,narrowed_eyes,
Person,Eyes,眯起眼睛看,squinting,
Person,Eyes,眼泪,tears,
Person,Eyes,锐利的眼,sharp_eyes,
Person,Eyes,锐利的眼,slanted_eyes,
Person,Eyes,上翘的眼睛,upturned_eyes,
Person,Eyes,斗鸡眼,cross-eyed,
Person,Eyes,头发遮着双眼,hair_over_eyes,
Person,Eyes,透过头发看到的眼睛,eyes_visible_through_hair,
Person,Eyes,头发遮住了一只眼睛,hair_over_one_eye,
Person,Eyes,一只眼被遮住,one_eye_covered,
Person,Eyes,眼袋,bags_under_eyes,
Person,Eyes,眼罩,eyepatch,
Person,Eyes,医用眼罩,medical_eyepatch,
Person,Eyes,眼睛上的疤痕,scar_across_eye,
Person,Eyes,无蒙眼要素,no_blindfold,
Person,Eyes,无眼罩,no_eyepatch,
Person,Eyes,阿嘿颜,ahegao,
Person,Eyes,瞳孔,pupils,
Person,Eyes,明亮的瞳孔,bright_pupils,
Person,Eyes,异色瞳,heterochromia,
Person,Eyes,竖的瞳孔,slit_pupils,
